month,product_id,label
2021-1,1001,2620.737842
2021-2,1001,978.2192393
2021-3,1001,2519.682111
2021-1,1002,7642.743612
2021-2,1002,2132.292
2021-3,1002,5436.233608
2021-1,1003,2457.150383
2021-2,1003,693.9024644
2021-3,1003,2479.684756
2021-1,1004,5579.630915
2021-2,1004,1254.607853
2021-3,1004,4605.319823
2021-1,1005,4464.28263
2021-2,1005,1589.511584
2021-3,1005,3424.655728
2021-1,1006,2979.942551
2021-2,1006,1091.335103
2021-3,1006,2340.54975
2021-1,1007,3124.477735
2021-2,1007,1160.525716
2021-3,1007,2583.96197
2021-1,1008,2327.347621
2021-2,1008,691.5945362
2021-3,1008,2182.390489
2021-1,1009,3573.925309
2021-2,1009,1229.026999
2021-3,1009,2760.137843
2021-1,1010,1451.138922
2021-2,1010,742.0062321
2021-3,1010,957.9284324
2021-1,1011,1840.054948
2021-2,1011,824.2236506
2021-3,1011,1487.675291
2021-1,1012,4772.506468
2021-2,1012,1361.709956
2021-3,1012,4147.739001
2021-1,1013,22855.96248
2021-2,1013,9875.334907
2021-3,1013,14753.95567
2021-1,1014,972.534772
2021-2,1014,448.6902741
2021-3,1014,687.6686114
2021-1,1015,2092.050697
2021-2,1015,590.9155194
2021-3,1015,2195.493484
2021-1,1016,3264.655592
2021-2,1016,1130.330888
2021-3,1016,2578.734885
2021-1,1017,3544.402153
2021-2,1017,951.3726671
2021-3,1017,3026.703369
2021-1,1018,2553.645991
2021-2,1018,1031.333732
2021-3,1018,2296.81752
2021-1,1019,1811.217067
2021-2,1019,694.3895904
2021-3,1019,1278.045986
2021-1,1020,4186.309745
2021-2,1020,1026.52967
2021-3,1020,3892.469936
2021-1,1021,1908.015431
2021-2,1021,540.4559436
2021-3,1021,1998.707245
2021-1,1022,704.3794274
2021-2,1022,253.1074504
2021-3,1022,377.0665636
2021-1,1023,1790.273082
2021-2,1023,876.5681222
2021-3,1023,1789.280275
2021-1,1024,5918.680966
2021-2,1024,1375.967281
2021-3,1024,4746.693559
2021-1,1025,2028.767058
2021-2,1025,576.0390233
2021-3,1025,2152.472006
2021-1,1026,827.8728761
2021-2,1026,369.4733291
2021-3,1026,502.3978758
2021-1,1027,1757.980489
2021-2,1027,891.205731
2021-3,1027,1486.302443
2021-1,1028,1918.081985
2021-2,1028,628.0702038
