product_id,is_sale_day,year_month,month,type,order,start_stock,end_stock,label_month
0,0,201802,2,0,1129.0,47.0,70.0,517.0
0,0,201803,3,0,3568.0,70.0,91.0,3190.0
0,0,201804,4,0,4560.0,91.0,110.0,4186.0
0,0,201805,5,0,7521.0,110.0,47.0,5412.0
0,0,201806,6,0,7687.0,47.0,41.0,5665.0
0,0,201807,7,0,8675.0,41.0,186.0,4954.0
0,0,201808,8,0,8245.0,186.0,109.0,5038.0
0,0,201809,9,0,7989.0,109.0,88.0,4726.0
0,0,201810,10,0,7583.0,88.0,129.0,4509.0
0,0,201811,11,0,8522.0,89.0,128.0,4840.0
0,0,201812,12,0,9310.0,128.0,110.0,5113.0
0,0,201901,1,0,7049.0,110.0,270.0,3469.0
0,0,201902,2,0,1101.0,270.0,234.0,986.0
0,1,201903,3,0,4611.0,234.0,151.0,3583.0
0,1,201904,4,0,6769.0,151.0,96.0,4438.0
0,1,201905,5,0,9941.0,99.0,66.0,5932.0
0,1,201906,6,0,10689.0,66.0,152.0,5087.0
0,1,201907,7,0,11824.0,152.0,169.0,4795.0
0,1,201908,8,0,10986.0,169.0,151.0,4314.0
0,1,201909,9,0,9820.0,151.0,63.0,3969.0
0,1,201910,10,0,10731.0,63.0,71.0,4256.0
0,1,201911,11,0,12677.0,77.0,69.0,3959.0
0,1,201912,12,0,14152.0,69.0,117.0,4375.0
0,1,202001,1,0,4469.0,117.0,198.0,1636.0
0,1,202002,2,0,2755.0,198.0,258.0,214.0
0,1,202003,3,0,3048.0,261.0,173.0,2555.0
0,1,202004,4,0,7108.0,173.0,60.0,2976.0
0,1,202005,5,0,12472.0,63.0,78.0,3701.0
0,1,202006,6,0,13061.0,78.0,108.0,3729.0
0,1,202007,7,0,15835.0,106.0,116.0,4025.0
0,1,202008,8,0,14180.0,116.0,73.0,3492.0
0,1,202009,9,0,15034.0,73.0,53.0,3213.0
0,1,202010,10,0,14312.0,53.0,201.0,3118.0
0,1,202011,11,0,16180.0,52.0,51.0,3364.0
0,1,202012,12,0,17381.0,51.0,117.0,3250.0
1,0,201802,2,1,1129.0,142.0,261.0,1488.0
1,0,201803,3,1,3568.0,261.0,317.0,4661.0
1,0,201804,4,1,4560.0,317.0,444.0,7289.0
1,0,201805,5,1,7521.0,444.0,40.0,12210.0
1,0,201806,6,1,7687.0,40.0,103.0,10943.0
1,0,201807,7,1,8675.0,103.0,291.0,11875.0
1,0,201808,8,1,8245.0,291.0,66.0,11247.0
1,0,201809,9,1,7989.0,66.0,64.0,10764.0
1,0,201810,10,1,7583.0,64.0,257.0,10305.0
1,0,201811,11,1,8522.0,257.0,162.0,11226.0
1,0,201812,12,1,9310.0,162.0,194.0,12303.0
1,0,201901,1,1,7049.0,194.0,368.0,7738.0
1,0,201902,2,1,1101.0,368.0,226.0,1231.0
1,0,201903,3,1,4611.0,226.0,101.0,5408.0
1,0,201904,4,1,6769.0,101.0,66.0,9598.0
1,0,201905,5,1,9941.0,56.0,124.0,12021.0
1,0,201906,6,1,10689.0,124.0,187.0,9316.0
1,0,201907,7,1,11824.0,187.0,429.0,10660.0
1,0,201908,8,1,10986.0,429.0,85.0,9682.0
1,0,201909,9,1,9820.0,85.0,56.0,9416.0
1,0,201910,10,1,10731.0,56.0,98.0,11089.0
1,0,201911,11,1,12677.0,98.0,416.0,10431.0
1,0,201912,12,1,14152.0,416.0,185.0,12655.0
1,0,202001,1,1,4469.0,185.0,413.0,3376.0
1,0,202002,2,1,2755.0,413.0,737.0,126.0
1,0,202003,3,1,3048.0,735.0,518.0,5204.0
1,0,202004,4,1,7108.0,518.0,71.0,6646.0
1,0,202005,5,1,12472.0,72.0,62.0,8765.0
1,0,202006,6,1,13061.0,62.0,96.0,9200.0
1,0,202007,7,1,15835.0,94.0,75.0,11252.0
1,0,202008,8,1,14180.0,75.0,85.0,10267.0
1,0,202009,9,1,15034.0,85.0,121.0,9958.0
1,0,202010,10,1,14312.0,121.0,95.0,9396.0
1,0,202011,11,1,16180.0,102.0,79.0,10970.0
1,0,202012,12,1,17381.0,79.0,213.0,11009.0
2,0,201802,2,0,1129.0,54.0,134.0,603.0
2,0,201803,3,0,3568.0,134.0,74.0,3027.0
2,0,201804,4,0,4560.0,74.0,94.0,3548.0
2,0,201805,5,0,7521.0,94.0,97.0,4348.0
2,0,201806,6,0,7687.0,97.0,41.0,4553.0
2,0,201807,7,0,8675.0,41.0,166.0,4112.0
2,0,201808,8,0,8245.0,166.0,111.0,4315.0
2,0,201809,9,0,7989.0,111.0,79.0,4032.0
2,0,201810,10,0,7583.0,79.0,110.0,3880.0
2,0,201811,11,0,8522.0,85.0,169.0,4054.0
2,0,201812,12,0,9310.0,169.0,114.0,4858.0
2,0,201901,1,0,7049.0,114.0,186.0,3708.0
2,0,201902,2,0,1101.0,186.0,168.0,1133.0
2,1,201903,3,0,4611.0,168.0,185.0,3363.0
2,1,201904,4,0,6769.0,185.0,142.0,3841.0
2,1,201905,5,0,9941.0,183.0,77.0,4881.0
2,1,201906,6,0,10689.0,77.0,245.0,4648.0
2,1,201907,7,0,11824.0,245.0,390.0,4433.0
2,1,201908,8,0,10986.0,390.0,243.0,4378.0
2,1,201909,9,0,9820.0,243.0,117.0,3812.0
2,1,201910,10,0,10731.0,117.0,87.0,4322.0
2,1,201911,11,0,12677.0,87.0,139.0,4250.0
2,1,201912,12,0,14152.0,139.0,146.0,4365.0
2,1,202001,1,0,4469.0,146.0,231.0,1960.0
2,1,202002,2,0,2755.0,231.0,268.0,308.0
2,1,202003,3,0,3048.0,309.0,232.0,2697.0
2,1,202004,4,0,7108.0,232.0,72.0,3139.0
2,1,202005,5,0,12472.0,90.0,130.0,3568.0
2,1,202006,6,0,13061.0,130.0,112.0,3481.0
2,1,202007,7,0,15835.0,117.0,173.0,3832.0
2,1,202008,8,0,14180.0,173.0,120.0,3719.0
2,1,202009,9,0,15034.0,120.0,144.0,3303.0
2,1,202010,10,0,14312.0,144.0,153.0,3001.0
2,1,202011,11,0,16180.0,158.0,62.0,3306.0
2,1,202012,12,0,17381.0,62.0,104.0,3208.0
3,0,201802,2,1,1129.0,111.0,98.0,370.0
3,0,201803,3,1,3568.0,98.0,98.0,1367.0
3,0,201804,4,1,4560.0,98.0,102.0,2150.0
3,0,201805,5,1,7521.0,102.0,106.0,2519.0
3,0,201806,6,1,7687.0,106.0,71.0,2350.0
3,0,201807,7,1,8675.0,71.0,65.0,2137.0
3,0,201808,8,1,8245.0,65.0,78.0,2262.0
3,0,201809,9,1,7989.0,78.0,51.0,2657.0
3,0,201810,10,1,7583.0,51.0,103.0,2131.0
3,0,201811,11,1,8522.0,97.0,59.0,2451.0
3,0,201812,12,1,9310.0,59.0,57.0,2525.0
3,0,201901,1,1,7049.0,57.0,99.0,2162.0
3,0,201902,2,1,1101.0,99.0,87.0,663.0
3,1,201903,3,1,4611.0,87.0,71.0,2304.0
3,1,201904,4,1,6769.0,71.0,145.0,3170.0
3,1,201905,5,1,9941.0,72.0,115.0,3970.0
3,1,201906,6,1,10689.0,115.0,212.0,4150.0
3,1,201907,7,1,11824.0,212.0,109.0,4692.0
3,1,201908,8,1,10986.0,109.0,97.0,4380.0
3,1,201909,9,1,9820.0,97.0,75.0,4215.0
3,1,201910,10,1,10731.0,75.0,47.0,5173.0
3,1,201911,11,1,12677.0,47.0,160.0,6074.0
3,1,201912,12,1,14152.0,160.0,262.0,7009.0
3,1,202001,1,1,4469.0,262.0,378.0,2590.0
3,1,202002,2,1,2755.0,378.0,444.0,518.0
3,1,202003,3,1,3048.0,460.0,367.0,4097.0
3,1,202004,4,1,7108.0,367.0,181.0,4705.0
3,1,202005,5,1,12472.0,144.0,78.0,6525.0
3,1,202006,6,1,13061.0,80.0,213.0,7301.0
3,1,202007,7,1,15835.0,183.0,217.0,8929.0
3,1,202008,8,1,14180.0,164.0,205.0,8663.0
3,1,202009,9,1,15034.0,205.0,230.0,8217.0
3,1,202010,10,1,14312.0,230.0,242.0,8313.0
3,1,202011,11,1,16180.0,96.0,124.0,8982.0
3,1,202012,12,1,17381.0,124.0,192.0,9263.0
4,0,201802,2,0,1129.0,102.0,74.0,543.0
4,0,201803,3,0,3568.0,74.0,88.0,1776.0
4,0,201804,4,0,4560.0,88.0,88.0,2353.0
4,0,201805,5,0,7521.0,88.0,110.0,2397.0
4,0,201806,6,0,7687.0,110.0,67.0,2772.0
4,0,201807,7,0,8675.0,67.0,72.0,2487.0
4,0,201808,8,0,8245.0,72.0,81.0,2405.0
4,0,201809,9,0,7989.0,81.0,62.0,2744.0
4,0,201810,10,0,7583.0,62.0,81.0,2410.0
4,0,201811,11,0,8522.0,74.0,59.0,2612.0
4,0,201812,12,0,9310.0,59.0,64.0,2776.0
4,0,201901,1,0,7049.0,64.0,111.0,2153.0
4,0,201902,2,0,1101.0,111.0,93.0,991.0
4,1,201903,3,0,4611.0,93.0,60.0,2223.0
4,1,201904,4,0,6769.0,60.0,107.0,3265.0
4,1,201905,5,0,9941.0,82.0,111.0,3741.0
4,1,201906,6,0,10689.0,111.0,187.0,3771.0
4,1,201907,7,0,11824.0,187.0,207.0,3907.0
4,1,201908,8,0,10986.0,207.0,163.0,3717.0
4,1,201909,9,0,9820.0,163.0,155.0,3815.0
4,1,201910,10,0,10731.0,155.0,87.0,4408.0
4,1,201911,11,0,12677.0,87.0,111.0,4661.0
4,1,201912,12,0,14152.0,111.0,142.0,5186.0
4,1,202001,1,0,4469.0,142.0,269.0,2005.0
4,1,202002,2,0,2755.0,269.0,339.0,329.0
4,1,202003,3,0,3048.0,341.0,265.0,3469.0
4,1,202004,4,0,7108.0,265.0,124.0,3742.0
4,1,202005,5,0,12472.0,123.0,55.0,5033.0
4,1,202006,6,0,13061.0,58.0,133.0,5104.0
4,1,202007,7,0,15835.0,131.0,158.0,5799.0
4,1,202008,8,0,14180.0,97.0,157.0,5871.0
4,1,202009,9,0,15034.0,157.0,148.0,6207.0
4,1,202010,10,0,14312.0,148.0,207.0,5954.0
4,1,202011,11,0,16180.0,150.0,120.0,6540.0
4,1,202012,12,0,17381.0,120.0,205.0,6335.0
5,0,201802,2,2,1129.0,99.0,120.0,630.0
5,0,201803,3,2,3568.0,120.0,79.0,2643.0
5,0,201804,4,2,4560.0,79.0,167.0,3382.0
5,0,201805,5,2,7521.0,167.0,48.0,4118.0
5,0,201806,6,2,7687.0,48.0,83.0,4253.0
5,0,201807,7,2,8675.0,83.0,112.0,4178.0
5,0,201808,8,2,8245.0,112.0,161.0,4451.0
5,0,201809,9,2,7989.0,161.0,84.0,4235.0
5,0,201810,10,2,7583.0,84.0,146.0,4007.0
5,0,201811,11,2,8522.0,110.0,194.0,4502.0
5,0,201812,12,2,9310.0,194.0,130.0,4870.0
5,0,201901,1,2,7049.0,130.0,207.0,3545.0
5,0,201902,2,2,1101.0,207.0,158.0,952.0
5,1,201903,3,2,4611.0,158.0,124.0,3235.0
5,1,201904,4,2,6769.0,124.0,100.0,4190.0
5,1,201905,5,2,9941.0,90.0,146.0,5057.0
5,1,201906,6,2,10689.0,146.0,111.0,4799.0
5,1,201907,7,2,11824.0,111.0,229.0,4513.0
5,1,201908,8,2,10986.0,229.0,91.0,4016.0
