product_id,date,year,month,type,order,start_stock,end_stock,label_sum,label_mean,label_std,label_cv,sale_count,label_month,qty_month_count,date_block_num
1042,2020-10-01,2020,10,A1,14312.0,40.0,40.0,2044.0,22.217391304347824,45.66596974903658,2.0554154681562453,0.0,119.0,3,34
1042,2020-11-01,2020,11,A1,16180.0,53.0,44.0,2044.0,22.217391304347824,45.66596974903658,2.0554154681562453,0.0,546.0,3,35
1042,2020-12-01,2020,12,A1,17381.0,44.0,44.0,2044.0,22.217391304347824,45.66596974903658,2.0554154681562453,0.0,1379.0,3,36
1042,2021-01-01,2021,1,A1,15182.0,44.0,44.0,,,,,,0.0,3,37
1042,2021-02-01,2021,2,A1,1128.0,44.0,43.0,,,,,,0.0,3,38
1042,2021-03-01,2021,3,A1,10756.0,43.0,55.0,,,,,,0.0,3,39
1043,2020-09-01,2020,9,A3,15034.0,40.0,69.0,5221.0,42.79508196721312,62.29972056297389,1.455768226141125,0.0,120.0,4,33
1043,2020-10-01,2020,10,A3,14312.0,69.0,62.0,5221.0,42.79508196721312,62.29972056297389,1.455768226141125,0.0,598.0,4,34
1043,2020-11-01,2020,11,A3,16180.0,66.0,67.0,5221.0,42.79508196721312,62.29972056297389,1.455768226141125,0.0,1739.0,4,35
1043,2020-12-01,2020,12,A3,17381.0,67.0,58.0,5221.0,42.79508196721312,62.29972056297389,1.455768226141125,0.0,2764.0,4,36
1043,2021-01-01,2021,1,A3,15182.0,58.0,81.0,,,,,,0.0,4,37
1043,2021-02-01,2021,2,A3,1128.0,72.0,65.0,,,,,,0.0,4,38
1043,2021-03-01,2021,3,A3,10756.0,74.0,81.0,,,,,,0.0,4,39
1044,2020-10-01,2020,10,A3,14312.0,40.0,40.0,5600.0,60.869565217391305,71.39708144853911,1.1729520523688568,0.0,430.0,3,34
1044,2020-11-01,2020,11,A3,16180.0,51.0,50.0,5600.0,60.869565217391305,71.39708144853911,1.1729520523688568,0.0,1945.0,3,35
1044,2020-12-01,2020,12,A3,17381.0,50.0,65.0,5600.0,60.869565217391305,71.39708144853911,1.1729520523688568,0.0,3225.0,3,36
1044,2021-01-01,2021,1,A3,15182.0,65.0,68.0,,,,,,0.0,3,37
1044,2021-02-01,2021,2,A3,1128.0,53.0,46.0,,,,,,0.0,3,38
1044,2021-03-01,2021,3,A3,10756.0,61.0,74.0,,,,,,0.0,3,39
1045,2020-10-01,2020,10,A1,14312.0,40.0,80.0,1577.0,17.141304347826086,40.9579203846585,2.389428456175385,0.0,103.0,3,34
1045,2020-11-01,2020,11,A1,16180.0,56.0,65.0,1577.0,17.141304347826086,40.9579203846585,2.389428456175385,0.0,637.0,3,35
1045,2020-12-01,2020,12,A1,17381.0,65.0,55.0,1577.0,17.141304347826086,40.9579203846585,2.389428456175385,0.0,837.0,3,36
1045,2021-01-01,2021,1,A1,15182.0,55.0,68.0,,,,,,0.0,3,37
1045,2021-02-01,2021,2,A1,1128.0,54.0,51.0,,,,,,0.0,3,38
1045,2021-03-01,2021,3,A1,10756.0,51.0,42.0,,,,,,0.0,3,39
1046,2020-09-01,2020,9,A2,15034.0,40.0,86.0,11305.0,92.6639344262295,113.6381534881398,1.2263471672315838,0.0,120.0,4,33
1046,2020-10-01,2020,10,A2,14312.0,86.0,76.0,11305.0,92.6639344262295,113.6381534881398,1.2263471672315838,0.0,1035.0,4,34
1046,2020-11-01,2020,11,A2,16180.0,92.0,65.0,11305.0,92.6639344262295,113.6381534881398,1.2263471672315838,0.0,3834.0,4,35
1046,2020-12-01,2020,12,A2,17381.0,65.0,102.0,11305.0,92.6639344262295,113.6381534881398,1.2263471672315838,0.0,6316.0,4,36
1046,2021-01-01,2021,1,A2,15182.0,102.0,141.0,,,,,,0.0,4,37
1046,2021-02-01,2021,2,A2,1128.0,141.0,120.0,,,,,,0.0,4,38
1046,2021-03-01,2021,3,A2,10756.0,120.0,104.0,,,,,,0.0,4,39
1047,2020-10-01,2020,10,A1,14312.0,40.0,40.0,3551.0,38.59782608695652,50.73266710617219,1.3143918258991385,0.0,204.0,3,34
1047,2020-11-01,2020,11,A1,16180.0,66.0,56.0,3551.0,38.59782608695652,50.73266710617219,1.3143918258991385,0.0,1353.0,3,35
1047,2020-12-01,2020,12,A1,17381.0,56.0,64.0,3551.0,38.59782608695652,50.73266710617219,1.3143918258991385,0.0,1994.0,3,36
1047,2021-01-01,2021,1,A1,15182.0,64.0,62.0,,,,,,0.0,3,37
1047,2021-02-01,2021,2,A1,1128.0,62.0,59.0,,,,,,0.0,3,38
1047,2021-03-01,2021,3,A1,10756.0,59.0,59.0,,,,,,0.0,3,39
1048,2020-10-01,2020,10,A1,14312.0,40.0,40.0,2634.0,28.630434782608692,48.63402629943979,1.6986827712788386,0.0,112.0,3,34
1048,2020-11-01,2020,11,A1,16180.0,54.0,45.0,2634.0,28.630434782608692,48.63402629943979,1.6986827712788386,0.0,846.0,3,35
1048,2020-12-01,2020,12,A1,17381.0,45.0,60.0,2634.0,28.630434782608692,48.63402629943979,1.6986827712788386,0.0,1676.0,3,36
1048,2021-01-01,2021,1,A1,15182.0,44.0,48.0,,,,,,0.0,3,37
1048,2021-02-01,2021,2,A1,1128.0,48.0,45.0,,,,,,0.0,3,38
1048,2021-03-01,2021,3,A1,10756.0,61.0,75.0,,,,,,0.0,3,39
1049,2020-09-01,2020,9,A3,15034.0,40.0,53.0,4936.0,40.459016393442624,58.91472301092719,1.4561580646947156,0.0,120.0,4,33
1049,2020-10-01,2020,10,A3,14312.0,53.0,47.0,4936.0,40.459016393442624,58.91472301092719,1.4561580646947156,0.0,471.0,4,34
1049,2020-11-01,2020,11,A3,16180.0,55.0,58.0,4936.0,40.459016393442624,58.91472301092719,1.4561580646947156,0.0,1550.0,4,35
1049,2020-12-01,2020,12,A3,17381.0,58.0,59.0,4936.0,40.459016393442624,58.91472301092719,1.4561580646947156,0.0,2795.0,4,36
1049,2021-01-01,2021,1,A3,15182.0,59.0,82.0,,,,,,0.0,4,37
1049,2021-02-01,2021,2,A3,1128.0,58.0,49.0,,,,,,0.0,4,38
1049,2021-03-01,2021,3,A3,10756.0,73.0,54.0,,,,,,0.0,4,39
1050,2020-10-01,2020,10,A3,14312.0,40.0,40.0,5572.0,60.56521739130435,68.48811629457037,1.130815990506187,0.0,321.0,3,34
1050,2020-11-01,2020,11,A3,16180.0,52.0,47.0,5572.0,60.56521739130435,68.48811629457037,1.130815990506187,0.0,2167.0,3,35
1050,2020-12-01,2020,12,A3,17381.0,47.0,41.0,5572.0,60.56521739130435,68.48811629457037,1.130815990506187,0.0,3084.0,3,36
1050,2021-01-01,2021,1,A3,15182.0,41.0,75.0,,,,,,0.0,3,37
1050,2021-02-01,2021,2,A3,1128.0,43.0,55.0,,,,,,0.0,3,38
1050,2021-03-01,2021,3,A3,10756.0,88.0,102.0,,,,,,0.0,3,39
1051,2020-10-01,2020,10,A1,14312.0,40.0,63.0,1981.0,21.532608695652176,44.057517622467,2.0460836048798403,0.0,103.0,3,34
1051,2020-11-01,2020,11,A1,16180.0,56.0,58.0,1981.0,21.532608695652176,44.057517622467,2.0460836048798403,0.0,871.0,3,35
1051,2020-12-01,2020,12,A1,17381.0,58.0,64.0,1981.0,21.532608695652176,44.057517622467,2.0460836048798403,0.0,1007.0,3,36
1051,2021-01-01,2021,1,A1,15182.0,64.0,70.0,,,,,,0.0,3,37
1051,2021-02-01,2021,2,A1,1128.0,54.0,54.0,,,,,,0.0,3,38
1051,2021-03-01,2021,3,A1,10756.0,54.0,52.0,,,,,,0.0,3,39
1052,2020-09-01,2020,9,A2,15034.0,40.0,86.0,11844.0,97.08196721311477,119.71457723564689,1.2331288773006517,0.0,120.0,4,33
1052,2020-10-01,2020,10,A2,14312.0,86.0,79.0,11844.0,97.08196721311477,119.71457723564689,1.2331288773006517,0.0,919.0,4,34
1052,2020-11-01,2020,11,A2,16180.0,79.0,125.0,11844.0,97.08196721311477,119.71457723564689,1.2331288773006517,0.0,4062.0,4,35
1052,2020-12-01,2020,12,A2,17381.0,125.0,82.0,11844.0,97.08196721311477,119.71457723564689,1.2331288773006517,0.0,6743.0,4,36
1052,2021-01-01,2021,1,A2,15182.0,82.0,99.0,,,,,,0.0,4,37
1052,2021-02-01,2021,2,A2,1128.0,99.0,90.0,,,,,,0.0,4,38
1052,2021-03-01,2021,3,A2,10756.0,90.0,143.0,,,,,,0.0,4,39
1053,2020-12-01,2020,12,A1,17381.0,40.0,77.0,662.0,21.35483870967742,44.668817152533286,2.0917421929434017,0.0,662.0,1,36
1053,2021-01-01,2021,1,A1,15182.0,44.0,48.0,,,,,,0.0,1,37
1053,2021-02-01,2021,2,A1,1128.0,48.0,48.0,,,,,,0.0,1,38
1053,2021-03-01,2021,3,A1,10756.0,81.0,58.0,,,,,,0.0,1,39
1054,2020-12-01,2020,12,A3,17381.0,40.0,65.0,1598.0,51.54838709677419,64.04937611441007,1.2425097994660277,0.0,1598.0,1,36
1054,2021-01-01,2021,1,A3,15182.0,65.0,66.0,,,,,,0.0,1,37
1054,2021-02-01,2021,2,A3,1128.0,66.0,64.0,,,,,,0.0,1,38
1054,2021-03-01,2021,3,A3,10756.0,64.0,65.0,,,,,,0.0,1,39
1055,2020-10-01,2020,10,A1,14312.0,40.0,73.0,3279.0,35.641304347826086,60.2089003536559,1.6893012603038555,0.0,686.0,3,34
1055,2020-11-01,2020,11,A1,16180.0,40.0,40.0,3279.0,35.641304347826086,60.2089003536559,1.6893012603038555,0.0,453.0,3,35
1055,2020-12-01,2020,12,A1,17381.0,73.0,74.0,3279.0,35.641304347826086,60.2089003536559,1.6893012603038555,0.0,2140.0,3,36
1055,2021-01-01,2021,1,A1,15182.0,58.0,41.0,,,,,,0.0,3,37
